,name,number,address,lat,lng
256,구인재활의학과의원, 031-882-7636, 경기도 여주시 대신면 여양로 1421  율촌리 269-7,127.5901186,37.3753662
279,권오윤내과의원, 031-571-8745, 경기도 남양주시 퇴계원면 퇴계원로46번길 1  ,127.1419522,37.6505044
374,나래의원, 031-764-7525, 경기도 광주시 곤지암읍 평촌길 36  삼리 134-9,127.3257205,37.3564626
385,남양주 한양병원, 031-510-0114, 경기도 남양주시 오남읍 양지로 47-55  ,127.2043933,37.6823474
537,마석이비인후과의원, 031-595-3222, 경기도 남양주시 화도읍 마석중앙로 68  ,127.3072828,37.6521439
581,모현누리소아청소년과의원, 031-322-5597, 경기도 용인시 처인구 모현면 백옥대로 2385-1  백옥대로 2385-1,127.249197,37.3366439
602,미래산부인과의원, 031-763-3552, 경기도 광주시 곤지암읍 평촌길 39  미래산부인과의원,127.3262864,37.355786
653,박소아과의원, 031-642-8644, 경기도 이천시 장호원읍 장감로87번길 4  장호원리 41-3,127.6322398,37.1178363
674,발안우리들의원, 031-366-1980, 경기도 화성시 향남읍 발안남로55번길 27  ,126.9049585,37.1299749
689,범세이비인후과의원, 031-322-1219, 경기도 용인시 처인구 포곡읍 포곡로 109  포곡읍 둔전리 152-9,127.2175448,37.2695836
709,본소아청소년과의원, 031-8059-7636, 경기도 화성시 향남읍 하길로 70 부영10단지 상가동 106-7호 (오색마을 사랑으로부영10단지아파트),126.9209306,37.1124041
726,봉담성모의원, 031-227-7888, 경기도 화성시 봉담읍 진등1길 65  수영리 648-15,126.9497737,37.2213915
728,봉봉소아청소년과의원, 031-683-0325, 경기도 평택시 청북읍 안청로 332  옥길리 1162-1 한남프라자 302호,126.915923,37.0175127
752,사강정형외과의원, 031-357-7588, 경기도 화성시 송산면 사강로 212  ,126.7394907,37.2131146
835,새희망마취통증의학과의원, 031-581-7200, 경기도 가평군 가평읍 가화로 113-1  ,127.513332,37.8298291
857,서울명의원, 031-353-8255, 경기도 화성시 향남읍 상신하길로 66  ,126.8966893,37.1004943
870,서울삼성의원, 031-338-7582, 경기도 용인시 처인구 양지면 양지로 140  양지면 양지리 573-5,127.2837899,37.2343375
888,서울수의원, 031-651-0177, 경기도 평택시 팽성읍 부용로 27  ,127.0587591,36.9632079
906,서울연합의원, 031-684-7582, 경기도 평택시 안중읍 안현로서6길 32  현화리 47번지 301호,126.9259622,36.9849065
912,서울의원, 031-528-2297, 경기도 남양주시 진접읍 광릉내로 108  팔야리 758-4,127.2058916,37.7463952
959,성모우리내과의원, 031-797-0200, 경기도 광주시 퇴촌면 광동로 33  성모우리내과,127.3064462,37.4707395
993,세종의원, 031-222-3061, 경기도 화성시 봉담읍 와우안길 52  와우리 76-10 세종의원,126.9762044,37.2162043
1064,승리외과의원, 031-982-3981, 경기도 김포시 양촌읍 양곡1로 56  양곡리419-11,126.6234362,37.6555398
1078,신미주우리들의원, 031-323-1140, 경기도 용인시 처인구 이동면 백옥대로621번길 3  백옥대로 621번길 3 202호,127.2066665,37.192175
1092,씨엘산부인과의원, 031-353-5969, 경기도 화성시 향남읍 삼천병마로 230  ,126.9113139,37.1334695
1153,안상용내과의원, 031-574-3998, 경기도 남양주시 진건읍 진건오남로 69  안상용내과의원,127.1783015,37.6568949
1156,안성의료복지사회적협동조합서안성의원, 031-651-6121, 경기도 안성시 공도읍 승두길 40  안성의료복지사회적협동조합 서안성의원,127.1711937,36.9985755
1172,양수삼성요양병원, 031-772-0990, 경기도 양평군 양서면 양수로 149-2  양수삼성요양병원,127.3194221,37.5442218
1178,양지내과의원, 031-336-7579, 경기도 용인시 처인구 양지면 양지로 131  양지내과의원,127.2829173,37.2348126
1180,양평경희통합의원한의원, 031-771-7582, 경기도 양평군 옥천면 북부길9번길 13 ,127.4602396,37.5209703
1220,연세능골의원, 031-766-7889, 경기도 광주시 오포읍 오포로 118  능평리 152-13,127.17929,37.3437718
1240,연세봄소아청소년과의원, 031-711-3833, 경기도 광주시 오포읍 신현로 100-3  연세봄소아청소년과의원,127.1577418,37.3597502
1279,연세의원, 031-882-6173, 경기도 여주시 가남읍 태평로 23  태평로 23,127.5464761,37.2027817
1282,연세이비인후과의원, 031-572-7582, 경기도 남양주시 진접읍 장현로87번길 1  동아빌딩3층 연세이비인후과의원,127.1819341,37.7183632
1289,연세제일의원, 031-683-2580, 경기도 평택시 안중읍 안중로131번길 5  안중리 292-72번지,126.9309342,36.989118
1300,연세패밀리의원, 031-656-2377, 경기도 평택시 평택5로 30 (합정동) 연세패밀리의원,127.1117516,36.9884238
1303,연세푸른의원, 031-543-7688, 경기도 포천시 소흘읍 솔모루로 39   시온빌딩 2층,127.1437425,37.8260156
1334,예담의원, 031-764-5588, 경기도 광주시 퇴촌면 광동로 49  ,127.3082704,37.4706859
1343,오남이비인후과의원, 031-574-7111, 경기도 남양주시 오남읍 진건오남로 512  오남리 477-1,127.210148,37.6795969
1358,오포의원, 031-766-7582, 경기도 광주시 오포읍 오포로 868  ,127.231945,37.3677417
1392,우리들의원, 031-585-2533, 경기도 가평군 설악면 신천중앙로88번길 1  신천리 120-1,127.493773,37.6768947
1406,우리소아청소년과의원, 031-797-5976, 경기도 광주시 곤지암읍 평촌길 38-14  우리소아청소년과 의원 ,127.325456,37.3566062
1463,유성소아청소년과의원, 031-582-2519, 경기도 가평군 가평읍 연인길 2  읍내리 476-4번지,127.5140265,37.8285865
1494,의료법인 은혜와감사의료재단 화성중앙종합병원, 031-371-8057, 경기도 화성시 향남읍 발안로 5  ,126.9108361,37.1312957
1538,이승균이비인후과의원, 031-681-3347, 경기도 평택시 안중읍 안중로 130-2  안중리 292-17,126.9309059,36.9886456
1564,이젠드림가정의학과의원, 031-987-7975, 경기도 김포시 양촌읍 황금로109번길 27  이젠드림가정의학과검진센터,126.6222351,37.6175279
1584,이혜용소아청소년과의원, 031-543-7720, 경기도 포천시 소흘읍 솔모루로 95  ,127.147775,37.8298083
1598,일동연세의원, 031-532-0396, 경기도 포천시 일동면 화동로 1066  ,127.3184534,37.9583607
1613,자애의원, 031-674-1198, 경기도 안성시 일죽면 금일로 465-10  송천리 15-32,127.4779614,37.0934433
1665,제일메디플러스의원, 031-322-7582, 경기도 용인시 처인구 포곡읍 포곡로 113  제일메디플러스 3층,127.2178962,37.2699233
1671,제일의원, 031-959-6004, 경기도 파주시 적성면 청송로 1023  마지리46-8,126.9186774,37.9546165
1708,중문의원, 031-592-6685, 경기도 남양주시 수동면 비룡로 720-1  운수리 103-3,127.3269676,37.7031497
1728,진소아청소년과의원, 031-879-2475, 경기도 양주시 백석읍 호명로 57  ,126.9928689,37.7882401
1758,청심국제병원, 031-589-4300, 경기도 가평군 설악면 미사리로 267-177  송산리 460,127.5213618,37.6911585
1771,최소아청소년과의원, 031-511-0804, 경기도 남양주시 화도읍 마석중앙로 78  마석우리 271-4,127.3082749,37.6519317
1837,퇴촌중앙의원, 031-766-6211, 경기도 광주시 퇴촌면 광동로 73-8  퇴촌중앙의원,127.3108933,37.4708616
1843,튼튼소아청소년과의원, 031-576-7575, 경기도 남양주시 와부읍 덕소로97번길 9  덕소리 476-3 일신프라자 2층,127.2132828,37.5861602
1863,포승21세기의원, 031-682-7552, 경기도 평택시 포승읍 서동대로 1124  내기리 1-7,126.8798816,36.9806352
1889,플러스맘소아청소년과의원, 031-574-8255, 경기도 남양주시 진접읍 금강로 1447  장현리 216-1 진접홈플러스 2층,127.1885526,37.7217588
1898,하나로내과의원, 031-682-8217, 경기도 평택시 안중읍 안현로서6길 44  현화리 71-4,126.9247513,36.9847994
1909,하나연합의원, 031-882-2277, 경기도 여주시 가남읍 태평로 30  하나연합의원,127.5462272,37.2033224
1924,하북한사랑의원, 031-611-7933, 경기도 평택시 진위면 진위서로 2  하북리 152-10외 3필지,127.0639194,37.1092476
1940,한마음내과의원, 031-769-7897, 경기도 광주시 곤지암읍 평촌길 35-7  ,127.3262446,37.3562115
1956,한사랑가정의원, 031-989-7542, 경기도 김포시 양촌읍 양곡로 537  양곡리 414-3,126.6237319,37.6548222
1964,한사랑의원, 031-572-8335, 경기도 남양주시 퇴계원면 경춘북로558번길 2  ,127.1455384,37.6479469
1978,한양성모의원, 031-882-2200, 경기도 여주시 가남읍 태평로 25  태평4리 141-13,127.5461085,37.2030226
1984,한일의원, 031-333-2306, 경기도 용인시 처인구 백암면 백암로 212  백암면백암리365번지,127.3744824,37.1654585
2018,행복한가정의학과의원, 031-767-8677, 경기도 광주시 초월읍 현산로 90  도평리212-3,127.2916023,37.3955242
2045,현대병원, 031-574-9119, 경기도 남양주시 진접읍 봉현로 21  ,127.1798467,37.7154219
2111,거창적십자병원, 055-944-3251, 경상남도 거창군 거창읍 중앙로 91  거창적십자병원,127.9087378,35.6867599
2119,고운아이소아과의원, 055-231-9119, 경상남도 창원시 마산회원구 내서읍 경남대로 937  ,128.5041133,35.2337876
2136,김소아청소년과의원, 055-852-7501, 경상남도 사천시 사천읍 진삼로 1448  ,128.0865918,35.0804801
2152,낙동연합의원, 055-374-1224, 경상남도 양산시 상북면 양산대로 1400  낙동연합의원,129.0513966,35.3938006
2153,남지의원, 055-526-6080, 경상남도 창녕군 남지읍 낙동로 487  남지리 663-38,128.4779124,35.3890636
2166,덕영내과의원, 055-574-0071, 경상남도 의령군 의령읍 의병로 217  서동리 485-8번지,128.2604502,35.3197351
2177,맘앤아이의원, 055-638-1792, 경상남도 거제시 서간도길 9-9 (옥포동) 맘앤아이의원,128.6916507,34.8874797
2180,명내과의원, 055-232-8275, 경상남도 창원시 마산회원구 내서읍 삼계로 12  서현메디칼빌딩2F,128.5034759,35.232225
2186,문산성모의원, 055-761-4569, 경상남도 진주시 문산읍 동부로591번길 4  삼곡리 1261-5,128.1647054,35.1681096
2219,보람가정의학과의원, 055-586-0501, 경상남도 함안군 칠원읍 원서로 10  ,128.5183598,35.3082738
2226,북면소아청소년과의원, 055-294-2119, 경상남도 창원시 의창구 북면 동곡로 9  ,128.5852833,35.3172276
2227,비타민내과의원, 055-367-7501, 경상남도 양산시 동면 금오13길 4  네오스퀘어 302-303호,129.025635,35.3161516
2247,서울성모의원, 055-853-8277, 경상남도 사천시 사남면 조동길 49-19  서울성모의원,128.0669331,35.0606417
2255,서울연합의원, 055-635-7532, 경상남도 거제시 연초면 죽토2길 2  서울연합의원,128.6545445,34.9138466
2261,성모의원, 055-674-2742, 경상남도 고성군 고성읍 중앙로 22  ,128.3229017,34.9742141
2265,세광의원, 055-963-5753, 경상남도 함양군 함양읍 학사루길 20  학사루길 20,127.7260638,35.5189837
2298,양산부산대학교병원, 055-1577-7512, 경상남도 양산시 물금읍 금오로 20  양산부산대학교병원,129.0064588,35.328778
2300,양지의원, 055-884-1233, 경상남도 하동군 하동읍 중앙로 18  읍내리 송보파인빌 101-202,127.750606,35.0705341
2313,예림가정의학과의원, 055-355-7470, 경상남도 밀양시 상남면 고노실길 4  예림리1333-4,128.7512656,35.459083
2347,의료법인 성념의료재단맑은샘병원, 055-736-1004, 경상남도 거제시 연초면 거제대로 4477  의료법인성념의료재단 맑은샘병원,128.6436423,34.8977185
2348,의료법인 이도의료재단 남해병원, 055-863-2201, 경상남도 남해군 남해읍 화전로 169  의료법인이도의료재단,127.8942506,34.8464281
2353,의료법인창녕서울의료재단창녕서울병원, 055-532-1975, 경상남도 창녕군 창녕읍 창녕대로 122  탐하리 23-1,128.4977331,35.5348238
2386,장준혁소아청소년과의원, 055-252-0964, 경상남도 창원시 의창구 동읍 동읍로 1  용잠리 416-9,128.6844793,35.2773948
2394,정양숙소아청소년과의원, 055-758-6621, 경상남도 진주시 금산면 금산순환로 24  정양숙소아청소년과의원,128.147475,35.2163583
2400,제일소아과의원, 055-232-1550, 경상남도 창원시 마산회원구 내서읍 삼계5길 13  제일소아과의원,128.50358,35.2313461
2408,조일종가정의학과의원, 055-337-1175, 경상남도 김해시 인제로 180 (어방동) (어방동),128.9041716,35.2445736
2418,진교외과의원, 055-884-7582, 경상남도 하동군 진교면 진교중앙길 11  중앙길 11,127.9036154,35.028916
2419,진동삼성내과의원, 055-271-5931, 경상남도 창원시 마산합포구 진동면 삼진의거대로 623  ,128.485966,35.1153151
2430,참사랑의원, 055-632-2232, 경상남도 거제시 거제면 읍내로6길 15  ,128.5907875,34.8504571
2439,청해의원, 055-882-8540, 경상남도 하동군 진교면 진교중앙길 13  진교리 426-74,127.9034576,35.0288857
2452,태황의료재단한성병원, 055-530-5000, 경상남도 창녕군 창녕읍 교리1길 2  ,128.493308,35.5421488
2455,통영중앙병원, 055-643-9119, 경상남도 통영시 광도면 죽림5로 15  ,128.4192158,34.8877623
2469,하동군민여성의원, 055-882-7770, 경상남도 하동군 하동읍 중앙로 115  하동군민여성의원,127.7403536,35.0736655
2470,하동병원, 055-880-4200, 경상남도 하동군 하동읍 화심길 25  (의)애민의료재단,127.738327,35.0826194
2471,하동중앙내과정형외과의원, 055-883-0222, 경상남도 하동군 하동읍 연화길 6   6,127.7509179,35.0765263
2472,하동현대의원, 055-882-7377, 경상남도 하동군 하동읍 중앙로 15  ,127.7508729,35.0702392
2500,가정의원, 054-443-5119, 경상북도 구미시 고아읍 문장로22길 40  한누리상가 2층 203호 가정의원,128.3329232,36.1530704
2504,건강한소아과의원, 054-482-6059, 경상북도 구미시 선산읍 선산대로 1399-6  ,128.3030654,36.2400835
2526,김상관소아과의원, 054-977-9759, 경상북도 칠곡군 석적읍 석적로 933-4  남율리 759번지,128.3935663,36.0737837
2531,김연수신경외과의원, 054-732-7600, 경상북도 영덕군 영해면 예주시장길 10  ,129.4051558,36.5384631
2533,김원태소아청소년과의원, 054-292-3325, 경상북도 포항시 남구 오천읍 정몽주로 647  오천읍 용덕4리 360-3,129.4136854,35.9756032
2535,김탁관내과의원, 054-441-1982, 경상북도 구미시 고아읍 문장로 190  원호리 444-3,128.3309089,36.1502406
2539,누가의원, 054-782-4979, 경상북도 울진군 북면 울진북로 2067  ,129.371875,37.1012487
2553,라임소아청소년과의원, 054-246-7575, 경상북도 포항시 남구 오천읍 남원로 86-28  라임소아청소년과의원,129.4004709,35.9715755
2568,박미애가정의학과의원, 054-977-4567, 경상북도 칠곡군 석적읍 석적로 955-6  남율리 732-2,128.3928471,36.0755368
2584,삼도선린의원, 054-261-3477, 경상북도 포항시 북구 흥해읍 도음로877번길 8 베스트프라자 204호 ,129.3303767,36.0793416
2585,삼부가정의학과의원, 054-975-8129, 경상북도 칠곡군 왜관읍 중앙로 73  왜관리 841-43번지,128.3982431,35.9817152
2591,삼성의원, 054-873-8275, 경상북도 청송군 청송읍 강변로 43  삼성의원,129.0514556,36.4359292
2627,신명준외과의원, 054-285-8001, 경상북도 포항시 남구 연일읍 연일중앙로 19-1  연일읍생지리255,129.3463406,35.9976453
2629,신세계내과의원, 053-857-8823, 경상북도 경산시 하양읍 대학로296길 7  금락리 396-6번지,128.8242741,35.9102451
2630,신세계연합의원, 053-856-8275, 경상북도 경산시 진량읍 봉황길 24  봉회리57번지,128.82065,35.884332
2662,예주한솔의원, 054-734-4064, 경상북도 영덕군 영해면 예주시장7길 4-1  성내리 470-7번지,129.4088828,36.5400281
2663,예천권병원, 054-654-6611, 경상북도 예천군 예천읍 시장로 136  예천권병원,128.458942,36.6574115
2665,오천성모의원, 054-292-7575, 경상북도 포항시 남구 오천읍 정몽주로 621  오천성모의원 ,129.4146234,35.9734305
2672,우리가정의학과의원, 054-975-7585, 경상북도 칠곡군 북삼읍 안산2길 13-7  우리가정의학과의원,128.3338855,36.0650847
2673,우리들연합정형외과의원, 054-262-5556, 경상북도 포항시 북구 흥해읍 한동로 42  흥해읍 옥성리 62-2번지,129.3459744,36.1103638
2680,울진군의료원, 054-785-7026, 경상북도 울진군 울진읍 현내항길 71  ,129.4095737,36.9926961
2682,원이비인후과의원, 054-973-0019, 경상북도 칠곡군 왜관읍 중앙로 221-1  ,128.3989282,35.9947762
2687,유튼튼소아청소년과의원, 054-292-1200, 경상북도 포항시 남구 오천읍 원동로 51  유튼튼소아청소년과의원,129.4024885,35.9675491
2707,이우진소아과의원, 054-286-1135, 경상북도 포항시 남구 연일읍 철강로25번길 52  연일읍 생지리 221번지,129.3461321,35.9962203
2715,장유석외과의원, 053-851-7007, 경상북도 경산시 하양읍 하양로 108-1  금락리 133-5번지,128.8193572,35.9136829
2722,제일의원, 054-371-2930, 경상북도 청도군 청도읍 청화로 106  고수리 154-49,128.7384802,35.646613
2724,제일튼튼연합의원, 054-972-9922, 경상북도 칠곡군 석적읍 강변대로 2291  ,128.3944296,36.0762156
2727,조은소아과의원, 054-973-6208, 경상북도 칠곡군 왜관읍 중앙로 140  왜관리 296-1번지,128.3997462,35.9875891
2734,진연합의원, 054-832-7588, 경상북도 의성군 의성읍 문소3길 109  후죽리 837-1번지,128.6938421,36.3554006
2757,하늘천의원, 054-858-4023, 경상북도 안동시 풍산읍 풍산중앙길 131  안교리 67번지,128.5750675,36.5787694
2760,하양중앙내과의원, 053-856-4567, 경상북도 경산시 하양읍 하양로 125  금락2리 1-11,128.820681,35.9148789
2764,한빛연합의원, 054-284-5818, 경상북도 포항시 남구 동해면 일월로 140-1  -,129.448325,35.9876096
2777,현대외과의원, 053-817-1797, 경상북도 경산시 압량면 대학로 345  부적리 514-13,128.7583011,35.8402072
2786,황영희소아과의원, 054-972-1950, 경상북도 칠곡군 왜관읍 중앙로 203-2  왜관리 234-10,128.3989287,35.9931561
2787,흥해아동병원, 054-240-1004, 경상북도 포항시 북구 흥해읍 흥해로 95  의료법인 새싹의료재단 흥해아동병원,129.3472064,36.1131446
3011,경대맑은이비인후과의원, 053-636-0369, 대구광역시 달성군 화원읍 비슬로 2597  ,128.5005239,35.8047842
3052,김지희내과의원, 053-615-7114, 대구광역시 달성군 논공읍 논공로 758  북리 803-178,128.4451246,35.7291344
3066,다사랑패밀리의원, 053-588-0660, 대구광역시 달성군 다사읍 다사역로 42  다사랑패밀리의원 ,128.4575992,35.8661022
3096,로즈맘산부인과의원, 053-593-3575, 대구광역시 달성군 다사읍 달구벌대로 874  로즈맘산부인과,128.4643372,35.8579676
3119,범물소아청소년과의원, 053-783-5800, 대구광역시 수성구 지범로 208  범물소아청소년과의원,128.6413243,35.8197418
3162,속찬내과의원, 053-633-5882, 대구광역시 달성군 화원읍 비슬로 2585  천내리 40-8 2층 속찬내과의원,128.4994209,35.8041141
3192,아이플러스소아청소년과의원, 053-593-3232, 대구광역시 달성군 다사읍 서재로7길 2  ,128.4928817,35.8682507
3199,연세의원, 053-638-6383, 대구광역시 달성군 화원읍 성암로1길 19  연세의원,128.509745,35.801981
3202,열린이비인후과의원, 053-611-2929, 대구광역시 달성군 유가면 테크노상업로 98  ,128.4600992,35.6932325
3206,영이비인후과의원, 053-635-5082, 대구광역시 달성군 화원읍 화암로 69  명곡리 110-3번지 201호,128.4960706,35.7979166
3233,윤가정의학과의원, 053-592-1046, 대구광역시 달성군 다사읍 달구벌대로 800-2  ,128.4587226,35.8621148
3240,이노소아청소년과의원, 053-719-0267, 대구광역시 달성군 현풍면 테크노상업로 52  ,128.4557968,35.6930972
3252,이지소아청소년과의원, 053-585-0999, 대구광역시 달성군 다사읍 대실역북로 12  매곡리 1549번지 삼영메디빌 2층 202호,128.4667701,35.8578569
3255,이화소아청소년과의원, 053-781-0603, 대구광역시 수성구 지범로 178 (지산동) 1275-14번지 2층,128.6385723,35.8213139
3259,임정화소아과의원, 053-614-8211, 대구광역시 달성군 논공읍 논공로17길 16-20  -,128.4438432,35.729921
3355,화원제일내과의원, 053-642-8772, 대구광역시 달성군 화원읍 비슬로 2574  화원제일내과의원,128.4983509,35.8032258
3510,예일의원, 042-936-4040, 대전광역시 대덕구 신탄진로 836 (신탄진동) 예일의원,127.4291389,36.4520519
3675,녹십자의원, 051-727-3355, 부산광역시 기장군 장안읍 해맞이로 427  ,129.2821642,35.3297056
3694,동남권원자력의학원, 051-720-5114, 부산광역시 기장군 장안읍 좌동길 40  좌동리 267-2,129.2435492,35.3214002
3736,박소아청소년과의원, 051-721-0730, 부산광역시 기장군 기장읍 차성동로 63  석천메디컬센터 2층,129.2162196,35.2435001
3854,우리가정의학과의원, 051-757-4020, 부산광역시 수영구 광안해변로 431 (민락동) 우리가정의학과의원,129.1292952,35.1599394
3871,은혜내과의원, 051-202-6115, 부산광역시 사하구 하신번영로 407 (하단동) 302 은혜내과의원,128.9602773,35.1173916
3882,이광욱내과의원, 051-722-9957, 부산광역시 기장군 기장읍 읍내로 116  동부리 280-2 기장메디칼,129.2170632,35.2449082
4064,고려대의과대학부속병원, 02-920-5114, 서울특별시 성북구 인촌로 73 (안암동5가) 고려대의과대학부속병원,127.0263537,37.5870165
5179,조성윤소아청소년과의원, 02-491-3933, 서울특별시 중랑구 용마산로 426 (면목동) 조성윤소아과의원,127.0971262,37.5894348
5460,부강제일의원, 044-275-3330, 세종특별자치시 부강면 부강5길 11-1  ,127.3682628,36.5286482
5476,세종영상의학과의원, 044-866-0009, 세종특별자치시 금남면 용포로 110  용포리 212-1 (2층),127.281673,36.468493
5494,중앙의원, 044-862-4408, 세종특별자치시 전의면 읍내길 20  읍내리 199-3,127.2044367,36.6810989
5500,한마음의원, 044-277-6446, 세종특별자치시 부강면 부강4길 10  부강리 460-6,127.367525,36.5289917
5525,남혜주의원, 052-211-7682, 울산광역시 울주군 범서읍 점촌4길 26  구영리 838-4 구암빌딩 3층,129.2381319,35.5704867
5526,다사롬소아과의원, 052-246-8575, 울산광역시 울주군 범서읍 천상3길 10-14  천상리 659-1번지,129.2262813,35.5633268
5563,서울산보람병원, 052-255-7114, 울산광역시 울주군 삼남면 중평로 53  교동리 378,129.1207349,35.5600045
5582,우리아동병원, 052-716-1365, 울산광역시 울주군 언양읍 헌양길 175  ,129.1169795,35.5670633
5608,이태일의원, 052-239-4778, 울산광역시 울주군 온산읍 영남6길 20  덕신리 1361-1,129.3078131,35.440441
5636,한사랑의원, 052-238-8035, 울산광역시 울주군 온양읍 연안2길 19  한사랑 의원,129.2823323,35.4085581
5639,햇살아동병원, 052-211-8448, 울산광역시 울주군 범서읍 천상중앙길 80  햇살아동병원,129.227749,35.563095
6086,김성훈이비인후과의원, 061-864-5075, 전라남도 장흥군 장흥읍 중앙로 23-1  건산리 386-2(2층) 나동,126.907992,34.6780812
6088,나눔내과의원, 061-381-8275, 전라남도 담양군 수북면 추성1로 736  나눔내과의원,126.9319769,35.3016573
6089,남악아동병원, 061-288-8000, 전라남도 무안군 삼향읍 대죽동로 30  남악아동병원,126.4644406,34.8111948
6096,담양동산병원, 061-383-0666, 전라남도 담양군 담양읍 죽향대로 1203  ,126.9822364,35.3133579
6097,담양사랑병원, 061-380-9000, 전라남도 담양군 담양읍 천변7길 19  천변리 182-1번지,126.9825103,35.3153617
6099,돌산성심의원, 061-644-0106, 전라남도 여수시 돌산읍 돌산로 1187  ,127.7288413,34.6166129
6105,목포아동의원, 061-285-9524, 전라남도 무안군 삼향읍 남악4로 71  ,126.4654578,34.812144
6118,삼호연세의원, 061-462-7588, 전라남도 영암군 삼호읍 삼호중앙로 168  용앙리 379-29외1필지,126.4691071,34.7452119
6119,삼호의원, 061-461-0075, 전라남도 영암군 삼호읍 신항로 63-5  삼호의원,126.3807138,34.7447707
6123,성경의원, 061-862-3838, 전라남도 장흥군 장흥읍 동교1길 33  건산리 385-31번지,126.9089428,34.6778895
6126,소망내과의원, 061-852-8811, 전라남도 보성군 보성읍 현충로 94  보성리 888-20,127.0819569,34.7676126
6134,아산사회복지재단 보성아산병원, 061-850-3606, 전라남도 보성군 미력면 가평길 36-17  ,127.1045625,34.7758583
6138,엔젤소아청소년과의원, 061-352-3229, 전라남도 영광군 영광읍 옥당로 152  엔젤소아과의원,126.5015687,35.2756529
6155,완도대성병원, 061-553-1234, 전라남도 완도군 완도읍 청해진동로 63  ,126.735575,34.3171667
6158,우리들내과의원, 061-433-8275, 전라남도 강진군 강진읍 중앙로 95  우리들내과의원,126.7674789,34.6386852
6160,월출기찬의원, 061-471-7555, 전라남도 영암군 영암읍 동문로 5  월출기찬의원,126.7024397,34.7961691
6162,위형중내과의원, 061-537-2266, 전라남도 해남군 해남읍 중앙2로 91  위형중내과,126.5969353,34.56812
6163,유기섭내과의원, 061-857-2000, 전라남도 보성군 벌교읍 채동선로 225  ,127.3445661,34.8426375
6167,의료법인거명의료재단 영광기독병원, 061-350-3000, 전라남도 영광군 영광읍 신남로 265  거명의료재단영광기독병원,126.510877,35.274938
6187,전라남도 강진의료원, 061-433-2167, 전라남도 강진군 강진읍 탐진로 5  전라남도강진의료원,126.7578654,34.6368113
6190,차소아청소년과의원, 061-371-3111, 전라남도 화순군 화순읍 중앙로 89  만연리 240-8번지,126.9912772,35.0606567
6191,차소아청소년과의원, 061-763-8295, 전라남도 광양시 광양읍 칠성로 55  칠성리 897-13번지,127.5846596,34.9790532
6202,하나의원, 061-858-7588, 전라남도 보성군 벌교읍 채동선로 215  하나의원,127.3433802,34.8423506
